,knowledge
13261,"Constructability reviews, principles and practices"
13262,"Social, cultural and political contexts of professional practices in operating landscape"
13263,Occupational Safety and Health Act
13264,Cost-benefit analysis of business continuity plans
13265,Quality performance standards
13266,Tests of strategic robustness for viability of current strategies
13267,Industry best practices in designing secure systems and emerging system security threats
13268,Documentation through IoT
13269,Ways to operationalise games telemetry data
13270,Guidelines and techniques for upselling and suggestive selling when providing information and services
13271,"Relation between production systems and the environment to recognise the use of scarce resources, production rejects and sustainability"
13272,Production design principles and processes
13273,Organisational formulary restrictions
13274,Safety regulations for lightning protection systems designs
13275,Safety requirements for fire protection system design
13276,Warehouse resource organisation
13277,"Process, operating and equipment parameters"
13278,Seasonal and periodic variations in passenger movements
13279,Active food packaging techniques
13280,"Tools, equipment and personal protective equipment (PPE) used in scaffold erection and dismantling"
13281,"Types, functions and usage of rail station systems and equipment"
13282,Emergency response execution procedures
13283,Price based analysis
13284,"Risk assessment analysis for new AMHS equipment roll-in, and/or working procedure to be performed"
13285,Applications of engineering drawings
13286,Roles and responsibilities of key stakeholders involved in structure creation
13287,Operating model flow
13288,Automation technology integration plans
13289,Methods to determine scope of experiments
13290,Qualitative Risk Assessment (QRA)
13291,Fundamentals of BMS
13292,Essential requirements for determining critical limits and control measures of critical control points
13293,"Techniques for monitoring, evaluating and reviewing payment handling processes"
13294,Ship design and engine room layout
13295,Properties and characteristics of the main types of cargo and aircraft types and limitations
13296,"Principles of hydraulics, hydrology and fluid mechanics"
13297,Loyalty schemes in the aviation industry
13298,Methods of interpreting condition monitoring systems and the types monitoring devices
13299,Exploratory and diagnostic analysis methodologies on datasets
13300,Small cells and frequency reuse
13301,Types of transactions and events in financial statements
13302,Customs clearing documentation
13303,Risk tolerance policies
13304,Impact of DfS regulations to the project lifecycle
13305,Market trends and impacting employer branding
13306,Roles and responsibilities of personnel in lifting operations and lifting supervisors
13307,Types of change management frameworks
13308,Importance of design for safety and health for construction projects
13309,New and upcoming tools and equipment to increase efficiency and decrease costs
13310,"Types of relevant law enforcement practices, procedures and orders"
13311,Equipment fault finding and troubleshooting techniques
13312,"Existing and emerging psychological services and initiatives, and their impact on professional practice"
13313,Means of establishing organisational key risk indicators or risk metrics
13314,Terror threats and modi operandi of terror groups in the regions
13315,Economic activities
13316,"Process system, flushing, cleaning, drying out techniques and standards"
13317,Operation Terminologies
13318,"Organisational policies and procedures relating to business networking, organisational diversity, conflict management and team building"
13319,Fuel and fuel systems
13320,Functionalities and limitations of commercial manufacturing equipment
13321,Penalties for non-compliance under WSH Act
13322,Radio Command Control Panel (RCCP)
13323,Staffs attitude towards training and development
13324,Format and structure in relation to proposed media products and platforms
13325,Personal Protective Equipment (PPE) required for chainsaw operations
13326,"Guiding principles and quality standards for repair, maintenance and testing methodologies of public transport systems and equipment"
13327,"Principles, application, types and limitations of finite element method/analysis (FEM/FEA)"
13328,Types of regulatory bodies in the security industry
13329,"Strategies for working in partnership with individuals, key people and others to enable development and enhancement of professional knowledge and practice"
13330,Methods of conducting job safety analysis to identify HSE risks
13331,Techniques for measuring return on investment (ROI) and marketing attribution
13332,Type of scaffold systems and their characteristics
13333,Planned requirements for entering into bilateral electricity and gas retail contracts
13334,Organisational policies and procedures on cash float management
13335,"Cultural, racial and ethnic groups and their beliefs and practices"
13336,Methods of formulating cultural goals for WSH
13337,Fabrication methods and techniques for meat and poultry type and its size
13338,Budgeting and costing for nursery operations
13339,On-boarding processes
13340,Cleaning standards for various food manufacturing equipment and surfaces
13341,Components of a workplace competence plan
13342,Organisational policies and procedures for the audit of SMSs
13343,Fundamentals of routing and subnets
13344,Roles and responsibilities of HSSEQ incident investigation teams
13345,Inventory Management
13346,Methods of interpreting pipeline drawings
13347,Coded manual and restricted manual modes
13348,Mechanical and physical properties of metals
13349,Management of crisis response and recovery activities
13350,"National guidelines on health, hygiene and nutritional approaches"
13351,Types of reflection strategies
13352,Duties and responsibilities for  working safely at  heights
13353,Data design documentation
13354,Methods of applying cause and effect and Root Cause Analysis (RCA) techniques
13355,Principles and applications of lean
13356,"Implications of machinery use, contact points with products and potential contamination in food manufacturing"
13357,Types of asbestos and other fibres
13358,Required resources for the effective implementation of store security and safety policies and procedures
13359,"Relevant cash flows taking into account of tax, inflation and other factors, and use of perpetuities"
13360,"Tour guiding requirements of travel itineraries, tour and travel products and services"
13361,Pricing structures and inventory of the organisation
13362,Linkage of total rewards to other human resource (HR) strategies
13363,Processes to develop the organisations strategies in accordance with the identified market entry opportunities
13364,Features and functions of equipment
13365,Types and dimensions of organisational culture and their characteristics
13366,Ways of communicating findings from observations and documentations of childrens behaviours parents
13367,"Manufacturing equipment design, installation, operation and performance requirements"
13368,Operating principles of rail operations
13369,WSH regulations
13370,Sustainable technologies for clean and green building technologies
13371,Methods to plan the resources and time needed to carry out activities
13372,Emerging battery technologies
13373,"Organisation's quality standards for language style guides, language assets and localised content outputs"
13374,Roles of matrices and reinforcement in composites
13375,Key elements of an application integration plan
13376,Market trends and developments relating to organisational change initiatives
13377,Procedures to use application equipment and tools used with chemicals
13378,"Structure, guidelines and processes for integrating learning technology into programmes, curricula and pedagogy"
13379,Principles of presentation content design
13380,Purpose of rerouting exercise
13381,Components of marketing budgets
13382,Types of lashing operations performed on-board ship or at ship wharf side
13383,Potential risks during innovation processes
13384,Procedures for quality assurance and quality control in  biopharmaceutical manufacturing plants
13385,Airline meal forecasting
13386,Organisational business plans
13387,Types of rolling stock propulsion equipment and components that includes:
13388,"Procedures and methods to disassemble, repair and/or replace faulty bus drivetrain sub-systems, components and parts"
13389,Cost management and allocation
13390,Characteristics of a role model
13391,Fundamental principles and rules of appropriate standard methods of the measurements
13392,Electrical terminology
13393,"Digital sketching, illustrations and painting tools"
13394,Industry benchmarks in executive remuneration practices
13395,Trends and developments in assessment practices
13396,"Permit documentation, formats and layouts"
13397,Internal and external compliance and regulatory guidelines
13398,Legal and regulatory and insurance requirements
13399,Types of stock-taking documentation
13400,"QA audit principles, requirements and process planning"
13401,"Positioning equipment such as hoists, balancers and manipulators"
13402,Purpose of ship schedules
13403,Types of safety and security threats
13404,Centres curriculum frameworks and learning programmes
13405,Internal and external environment that can impact change programmes
13406,"Plant economic models, management principles and practices"
13407,Current best practices in case planning
13408,"Surveillance observation techniques, pitfalls and best practices on video data analytics"
13409,Physical and physiological characteristics of plants in the nursery
13410,Elements of organisational quality processes and guidelines
13411,Common process interdependence issues
13412,Guiding principles to develop curriculum and programmes
13413,Organisations mentoring framework and guiding principles
13414,Best practices and strategies to adapt programmes
13415,Commercial information pertaining to customer activities
13416,Methods for accessing information on national HR policies
13417,Types of troubleshooting and rectification techniques for bus engine system maintenance
13418,Organisational protocols for notifying staff of equipment and appliance unavailability
13419,Basic electrical protection systems
13420,Types of accidents involving prime movers in the port
13421,Methods of formulating maintenance strategies
13422,Evaluative techniques of communication plans
13423,"Statutory regulations and guidelines, organisational instructions and guidance and ship contingency plans"
13424,Principles of Hazard Identification (HAZID) studies
13425,Building cooling strategies
13426,"Tools, equipment, techniques and system verification checks necessary to carry out testing"
13427,Impact of engineering problems on business and stakeholders
13428,Elements of storytelling
13429,Heat recovery technologies
13430,Strategies for evaluating evolving learner demographics
13431,Methods for tracking customer metrics and historical customer engagements
13432,Functional and behavioural expectations
13433,Fundamentals of writing for types of news stories
13434,Maritime statutory codes and regulations
13435,Organisational procedures relating to collection of specimens for laboratory testing
13436,Revenue management
13437,Manual assembly design
13438,Key success factors of an effective compliance training programme
13439,"AMHS capacity (from-to table) moves, derived from process moves and storage patterns"
13440,International and local best practices in patient education and health behavioural change management
13441,Techniques to assess customer needs
13442,Engine cleaning techniques and procedures
13443,Advantages and disadvantages of surface enhancement processes
13444,Basic stakeholder communication techniques
13445,Principles of Workplace Safety and Health (WSH) Act
13446,System components and interfaces
13447,Types of SLAs
13448,Components of communication plans and messaging for policies to be implemented and review process for the plan
13449,"Types of troubleshooting techniques, equipment, and tools"
13450,Principles of test and analysis systems
13451,"Welding technology,"
13452,Inventorship and ownership
13453,Concepts of computerised system integration
13454,Sources of information about products and services
13455,Standards and codes governing electric passenger and goods lift designs
13456,Risk control performance indicators
13457,Techniques to measure and evaluate impact of sponsorships
13458,Legislative requirements governing design and installation of steam systems
13459,Standard operating procedures of liquidation processes
13460,Principles and theories of behavioural economics
13461,Types and functions of battery and battery charger systems
13462,Aspects and processes of game development
13463,"Information contained in capacity, general arrangement and stowage plans"
13464,EMS related industry best practices and international practices
13465,Methods to verify petty cash claims
13466,Methods of driving quality within an organisation
13467,Legislation relevant to social service programmes
13468,Common medications by generic and proprietary brand names
13469,Production facility capability and limitations
13470,Power Supply Unit
13471,"Features, functionalities and limitations of standard game engines"
13472,Ship strength and construction
13473,Methods of measuring maintenance performance and schedule compliance
13474,Factors affecting production targets
13475,"Implications of failure trend analysis on public transport assets, systems and facilities maintenance schedule"
13476,Emerging trends and developments in cyber security
13477,Various types of ICT systems and how they work
13478,Long-term production targets and timelines
13479,Types of market trends and opportunities
13480,Pre-operational checks to be performed on the specialised machinery
13481,"Emerging and specialised forensic tools, solutions and methodologies"
13482,Pest behavioural resistance/avoidance
13483,Stakeholder management techniques and best practices
13484,Methods to implement guidelines for service operations
13485,Infection control and systems of work in clinical and non-clinical areas
13486,Application and interpretation of relevant requirements of the Electricity Act
13487,Methods of leveraging design research for strategies that impact the organisation
13488,Types of semi-automated and automated irrigation systems and their operation
13489,"Operating System coding techniques, interfaces and hardware subsystems"
13490,Tree assessment methods and techniques
13491,Advanced principles of automated systems configuration
13492,Visual data storytelling and visualisation approaches
13493,"Workflow, procedures and work instructions of tasks to be executed with the use of robotics and automated technology"
13494,Factors to be considered when developing the organisations strategy for market entry opportunities
13495,Methods to evaluate data analyses
13496,Competitor analysis
13497,Roles of ground staff and aerial team in pruning works
13498,Methods of interpreting condition monitoring systems and types monitoring devices
13499,Risk mitigation strategies for network planning
13500,Medication safety audit processes
13501,Implications of using food additives on consumers taste preferences
13502,"Models and methods of resolution of conflicts, grievances and disputes"
13503,"Emerging trends in logistics industry research such as autonomous fleet, big data and blockchain technology"
13504,Cathodic protection designs
13505,Chemical and fuel hazards during fire and chemical spills
13506,Procurement standard operating procedures (SOPs) and processes
13507,Concepts of lean manufacturing
13508,Concept of seasonal demand and its impact on data
13509,Research collaboration management
13510,Labour policies and legislation impacting the organisation
13511,Types of data required for safe navigation
13512,Impact of design and technological trends on user needs and behaviour
13513,Planning parameters in emergency response plans and procedures
13514,Soil testing methods and objectives
13515,Measures of event success
13516,Application range of automation technologies and robotic systems
13517,Principles of Hazard and Operability studies (HAZOP)
13518,Non-conformance escalation process and procedures
13519,Organisational goals vis--vis customer expectations and requirements
13520,Equipment cleaning and inspection techniques and standards
13521,Principles of thermal testing for non-metallic materials
13522,Templates and databases for documenting orders and materials received
13523,Principles of drawings related to marine equipment
13524,Types of Civil Defence (CD) designated emergency systems and equipment and methods of operations
13525,Specialised professional knowledge when providing consultation
13526,Procedures for tree pruning on ground
13527,Standard operating procedures for load profiling analysis
13528,Costing methods
13529,Appropriate Personal Protective Equipment (PPE) for management of different types of hazardous waste
13530,Metrics for various aspects of the user experience
13531,Nuances of various storytelling media
13532,Regulatory requirements for asset integrity
13533,Aircraft loading and unloading procedures
13534,Key performance indicators associated with ship operations
13535,Features and functions of bus controls and on-board equipment
13536,Centres practices and principles for diversity and inclusion to cater to diverse needs of children
13537,Procedures to manage cash and other payment methods
13538,Importance of understanding customers preferences and needs platforms and techniques to communicate and interact with customers
13539,Common types of tourist information that guests and/or customers might request for
13540,Fundamentals of watertight integrity
13541,Sources for contact databases
13542,WSH audit programme objectives
13543,Quality systems and obligations
13544,Intended audience of a report
13545,Customer onboarding procedures
13546,Methods to solicit feedback on products and/or services
13547,Practices and approaches to early diagnoses and interventions
13548,Techniques to analyse aesthetics
13549,Current organisational practices with regards to managing change
13550,"Types, functions, configuration and operating principles of cranes, components, rigging equipment, lifting gears and accessories"
13551,Rail track structural drawing
13552,Data summary techniques
13553,Importance of equipment maintenance and calibration prior to measurement
13554,Organisational strategies in account management
13555,Principles of customer-engagement marketing
13556,Inventory accuracies
13557,Adult learning theories
13558,Workplace documentation and storage processes
13559,Go-to-market product roadmap
13560,Guiding principles in data mining and modelling frameworks
13561,"Purchase administration and order processing which include request for quotation, purchase order (PO) creation, PO follow-up, goods receipt and supplier billing"
13562,Legislative requirements governing overboard pipe connections and other pump and piping systems
13563,Ambulatory care services workflow
13564,Automation technology integration plan
13565,Data visualisation techniques
13566,Sustainable related technologies
13567,Confidential data protection methods
13568,Formulation of EPRPs
13569,Legal implications pertaining to the rightful use of third-party digital media assets
13570,Concept of Total Airport Management (TAM)
13571,Reporting protocols
13572,Components of a HR policy framework
13573,Objectives of learning experience evaluations
13574,Metrics and criteria to evaluate user experience effectiveness
13575,Stakeholders and networks within the sector
13576,Stakeholder management
13577,Principles of maintaining display areas
13578,Issues relating to development of business performance strategies
13579,Techniques of SHITSUKE
13580,"Typical performance issues and resolution methods in porting, especially for the target platform"
13581,Organisations strategic directions in existing sustainability programmes
13582,Policies and procedures which provide clarification or assistance in relation to diversity within the organisation
13583,"Housekeeping, waste management and hygiene procedures for plant propagation facilities"
13584,Methods of identifying carving and serving techniques
13585,Root cause analysis techniques
13586,Alternative leak survey methods
13587,Methods of evaluating structural and arrangement drawing techniques
13588,Evidence-based physiotherapy assessments
13589,Key functional areas within the organisation
13590,Methods of WSH audit and management review
13591,Regulations applicable for the different types of licensed financial institutions and conduct of business
13592,Re-documentation processes for transhipment cargo
13593,"Health, safety, nutritional and hygiene standards"
13594,Safety and security performance indicators
13595,Methods of obtaining relevant information regarding potential and existing customers
13596,"International Convention for the Safety of Life at Sea (SOLAS) Chapter II-1 and International Electrotechnical Commission (IEC) codes and standards, class rules and other international regulations"
13597,Importance of formulating marketing communication strategies
13598,Relevant stakeholders to advise on the management of non-compliance
13599,Methods of developing testing plans and objectives
13600,Methods of formulating testing and commissioning policies and frameworks
13601,Safety guidelines on use of tools and equipment for preventive maintenance on traction power system and equipment
13602,Organisational procedures relating to cleaning the hard floors and carpets
13603,Methods of asset technical Integrity analysis
13604,Guidelines for reporting sales leads
13605,Electrical alternating current /direct current (AC/DC) wiring diagram and electronics components circuitry for troubleshooting purposes
13606,Functional management and governance decisions related to the respective market and industry functions
13607,Stakeholder Analysis
13608,Process engineering design ergonomics and economics
13609,Types of social services and support relating to persons with disabilities
13610,Cleanroom gowning procedures
13611,Multi-modal and intermodal movements concepts
13612,Guidelines for managing department supplies
13613,Types and causes of meter consumption abnormalities
13614,"Types and usage of Personal Protective Equipment (PPE), safety devices and equipment"
13615,Tender and quotation requirements
13616,Best practices in using transport management system
13617,Parameters that impact load factors and structural stability
13618,Security measures for stock control procedures
13619,Implications of technology-enabled learning delivery approaches
13620,Latest techniques for physical or interface prototyping
13621,Types of conflicts
13622,European Aviation Safety Agency (EASA) Part 145 and Part M requirements
13623,"Computer-aided drawing equipment, software, techniques and processes for generating graphics"
13624,Load flow study software
13625,Costs and resources required for basic changes
13626,Statutory regulations and service level agreements
13627,Importance of  human factors
13628,Factors to consider in developing an integration strategy
13629,Forms of immediate medical assistance
13630,"Legal, regulatory, ethical and socio-cultural constraints related to conflict resolution"
13631,Industry best practices and standards in problem management
13632,Legal and ethical considerations relating to performance management
13633,Indicators of software functionality and interoperability
13634,Reframing insights methods
13635,Hardening of steels
13636,Qualitative and quantitative data collection techniques
13637,Methods to identify unsafe and faulty equipment
13638,Methods of translating high complexity project requirements into two-dimensional (2D) and three-dimensional (3D) electrical drawings
13639,Elements of a small project or module
13640,Types of after-sales service provided by stores
13641,"Action to be taken in the event of fire, including fires involving oil systems"
13642,"Concepts and implications of stigma, discrimination and social exclusion as applied to diverse client groups"
13643,Verbal and non-verbal communication skills used in product demonstrations
13644,Objectives of trading
13645,Principles of nursing health assessment
13646,Components of customer analysis
13647,Legal and ethical considerations related to executive remuneration
13648,Visualisation tools and techniques
13649,Organisational procedures for handling  security surveillance equipment
13650,Concepts of inventory control systems or tools such as bar-coding and SAP
13651,Best practices in the Learning Support packages planning and implementation for children with developmental needs
13652,"Organisational guidelines, standards and procedures"
13653,ALM risks and risk management approaches
13654,Characteristics of good M&A targets
13655,Process billing and settlement in the Gas Transportation IT System Solution
13656,Operational plans for achieving compliance
13657,Appropriate responses to address non-compliance
13658,Establishment of audit parameters and resources with relevant audit bodies
13659,Factors that influence viewership of news bulletins
13660,The principles of Personal Development Planning (PDP)
13661,Maintenance planning and scheduling
13662,Inherent variabilities in the characteristics of  primary package materials
13663,Risk and compliance challenges associated with sales and trade orders
13664,"Types of permits such as inward permit, outward permit and transhipment permit"
13665,Near and far shading analyses
13666,Industry best practices of cargo security
13667,Principles of isolation and de-isolation
13668,"Impact of high risks, large transactions, diverse channels and strategic alliances on an organisations strategies"
13669,Methods to analyse outcomes of learner profile and learning needs analyses
13670,Methods for needs analysis to assess gaps in programmes and services
13671,Operating principles and functions of train supervisory system
13672,Traits of effective change leaders and agents
13673,Roles and Responsibilities of a Marine Metal Supervisor
13674,"Current research, key trends and best practices in classroom management"
13675,Techniques for facilitating collaboration using learning technology
13676,Relevance of big data analytics in improving business outcomes
13677,Performance standards for emergency responses
13678,Personal protective equipment (PPE) required while working on ground during tree pruning
13679,Features and functions of different types of movement analysis software
13680,Organisational standard operating procedures (SOPs) on the commissioning and testing of equipment
13681,Target audience of public relations strategies
13682,Educational and occupational variables
13683,"Techniques of developing, supervising and recording routine maintenance in line with asset integrity requirements"
13684,Measurement criteria for WSH performance measurement
13685,Diagnostic tools and equipment principles and application
13686,Internal and external stakeholders influencing the brand
13687,Methods of advanced mechanical diagnostic principles
13688,"HACCP plan, its principles and application steps"
13689,Evaluation of learning and development tools and techniques
13690,Data communication techniques
13691,Application development tools and methodologies
13692,Procedures for conducting system performance as well as safety checks and identifying faults in lift systems of different operating speeds
13693,ISO:50001
13694,Appropriateness and effectiveness of monitoring measures to control critical hazards
13695,"Crane structure, components, functions, drive controls, motions, usages and synchronisation"
13696,Handbook on Application for Electricity Connection
13697,Methods for managing capacity and prioritising the new product portfolio in the R&D pipeline
13698,Fuel requirements
13699,Management systems standards requirements
13700,Methodologies to reduce measurement errors and uncertainties
13701,Procedures to translate research into new services
13702,Emergency response strategies
13703,Terminal operations processes
13704,Importance of IP to the organisation
13705,Concepts of IT security and data privacy
13706,Processes of conducting reviews and audits of quality assurance policies and systems
13707,Contents and guidelines of  testing plans
13708,"Procedures and requirements for drills and exercises under conventions, codes and IMO circulars"
13709,Functions of the MES
13710,Energy consumption analysis techniques
13711,Dispute resolution
13712,Collaboration techniques for achieving shared goals
13713,Types of brand risks and/or threats
13714,Support services or community resources available for children and youth
13715,Areas of improvement to WSH Management System
13716,Strategies and methods to empower clients with self-advocacy skills
13717,Clients or organisations risk frameworks
13718,Role and responsibilities of turnaround team and team members
13719,Basic principles of electronics
13720,Gas network processes
13721,Technological and technical aspects of design
13722,Working principles of process unit operations and equipment including start and stop modes
13723,Implications of non-compliance with relevant legislation and regulations
13724,Infrastructure and network configuration techniques
13725,Trends and best practices in office workspaces and layouts
13726,Group psychology theories
13727,Key research for interventions
13728,Methods for risk analysis
13729,Role of staff and business in providing information about the social and environmental performance of an organisation
13730,Organisations financial goals and strategic direction
13731,Lean tools for improved inventory flow and material flow
13732,"Local attractions, shopping and transportation"
13733,Personal protective equipment (PPE) required for maintenance of drainage systems
13734,Types of animal training and enrichment procedures
13735,Types of measurable goals
13736,Baggage handling systems
13737,Compositions of business continuity teams
13738,Collaborative contracting
13739,Insight on potential development of new and/or emerging trends
13740,Client's and/or organisation's business
13741,Requirements for ties and braces
13742,Organisations facility and resource booking system
13743,Methods of developing quality performance criteria
13744,Relevant professional or industry codes of practice and standards relating to organisational effectiveness
13745,Risk analysis process
13746,Preparation and cooking techniques
13747,Components of learning experience evaluation plans
13748,Overall production processes
13749,Risk and control environment
13750,Types of critical drugs
13751,Design for heat treatment and material characterisation
13752,Audience engagement techniques
13753,Components of WSH management system (WSHMS)
13754,Methods to develop knowledge of organisations product and/or service offering
13755,Challenges to successful change implementation
13756,Consultation methods in a range of settings
13757,Risks associated with assigned tasks
13758,Quantitative methods for evaluation of trends and developments
13759,"International protocol for addressing guests of different cultures, genders and social status"
13760,International considerations and implications of cyber forensics investigations and activities
13761,Care navigation and coordination skills
13762,"Methods of reporting, logging and handing over"
13763,Elements of a Ship Security Assessment
13764,Best practices in workplace safety and health as applicable in a studio setting
13765,e-logistics system integration frameworks
13766,"Types of ship and rig equipment and products, their functions and characteristics that joining and welding works must support"
13767,Techniques to measure impact of marketing channel mix on business performance
13768,Methods of WSH incident analysis and root cause analysis
13769,Organisation's product and services
13770,"Procedures to dismantle, repair, replace and reassemble PSD systems and components"
13771,Business benefits of CRM
13772,Pipeline operation trade-offs
13773,"New or emerging approaches to psychological services, models of care and service delivery and technology"
13774,Organisational policies and procedures relating to organisational learning and development
13775,Techniques for handling feedback and objections
13776,Principles and objectives of financial management policies
13777,Reporting escalation process
13778,Principles of culture building
13779,Problem-solving and troubleshooting techniques
13780,Impact of advanced processing technology to food manufacturing operations
13781,Types of coaching and mentoring strategies
13782,Units of measurement for different statistical parameters
13783,Control activities within each financial process
13784,Impact of labour policies and legislation on internal HR policies and organisation
13785,Documentation required for administering compensation management
13786,Types and methods of functional tests on uninterruptible power supply system
13787,Safe work procedures
13788,Maintenance terms and conditions and source for qualified maintenance contractors
13789,Collateral reconciliations and resolve breaks
13790,"Local, regional and global platforms and avenues for industry networking"
13791,"Viability, costs and benefits of commissioning new manufacturing systems"
13792,Emerging behavioural biases trends
13793,Vendor selection and management techniques
13794,Software fault identification
13795,Casework supervision
13796,Basic operation of CCTV media storage systems
13797,Organisational direction and strategies
13798,Concepts and methods of continuous process improvement
13799,Basic equipment troubleshooting techniques
13800,Implications of external and internal business environment
13801,Operating principles and functions of heavy lifting machinery
13802,Types of workplace communication techniques for providing feedback for quality improvement
13803,Relationship between service standards and customer loyalty and retention
13804,Interpret types of safety signs and instructions
13805,Advertising and publicity strategies for media
13806,"Engineering services industry, national and international standards, regulatory codes and practices"
13807,Communications methods with different types of media
13808,Principles of business case development
13809,Content formats used in different markets
13810,Energy consumption for lighting optimisation
13811,Industry best practices in service delivery
13812,Business and economic landscapes and accompanying possible risk implications
13813,Risk identification and assessment techniques for a functional area
13814,Organisation's risks and controls environment
13815,Computational Fluid Dynamics (CFD) analysis
13816,Organisational strategy and the impact on learning and development strategies
13817,Infrastructure design and planning
13818,Mechanisms for monitoring and reporting outcomes when implementing improvements to work practices
13819,70-20-10 model for learning and development
13820,Organisational credit policies
13821,IP-related legislation and guidelines
13822,Inherent risks and residual risks
13823,Types of ballast systems
13824,Ecosystem of content providers in the local markets
13825,"Purchasing cycles of tools, equipment and other food and beverage inventory and supplies"
13826,Role and accountability for identification of skill development needs
13827,"International standards, codes, legislation pertaining to equipment testing"
13828,Fundamental understanding of Singapore Transmission Code and other relevant statutory and regulatory requirements on the electricity network and laying power cables on public roads
13829,"Principles of pipe, duct and equipment insulation"
13830,Types of systems for Foley and music
13831,Best practices and trends in green manufacturing for food products
13832,Conflict resolution techniques
13833,Procedures of calibrating tools
13834,Components of HR policy document
13835,Principles and processes for providing customer and personal services
13836,Statistical modelling techniques
13837,Strategic portfolio management theory and design principles
13838,Demand forecasting techniques
13839,"Chemical, biological or radiological (CBR) effects"
13840,Unplanned factors that can impact production
13841,Geophysical methods and geotechnical analysis and monitoring methods
13842,Medication adverse events investigation processes
13843,Local and regional market commercial trends in the aviation services partnerships
13844,"WSH (Construction) Regulations, WSH (Shipbuilding & Ship-repairing) Regulations"
13845,Market practices in transport management
13846,Diverse needs of children and families
13847,Models for leadership development
13848,Importance of building customer relationships and increasing customer acquisition and retention rate
13849,Types of go-to-market execution
13850,Port operation schedules
13851,Identification of process hazards and risk control measures
13852,Importance of building guests and/or customers relationships
13853,Sources from which information about IP may be obtained
13854,"Considerations for business values, social responsibility and ethics within the design discipline"
13855,Legal terms and contractual agreements
13856,"Technical parameters for cameras, lighting and other equipment required for productions"
13857,Functional test procedures on bus body components and parts
13858,Types of finishing requirements
13859,Capital investment performance monitoring techniques
13860,Design of automation processes
13861,Types of repair
13862,Design thinking processes
13863,Cash budgets
13864,Projection and financial matters analysis techniques
13865,Organisational procedures for information collection and verification
13866,Ideation and storyboarding techniques
13867,Monetisation metrics for games
13868,"Features, pros and cons of various content distribution platforms"
13869,Escalation thresholds from emergency response to a crisis
13870,Procedures for inspection of rigging equipment and components
13871,"Basic principles of mechanical, civil, structural geotechnical, instrumentation and control, and electrical engineering"
13872,Strategic objectives of organisation
13873,Industry best practices for compliance and legal applications
13874,Various types of film stock
13875,Concepts of customer purchasing behaviour
13876,Principles of corporate governance
13877,"Operating principles, functions and features of rolling stock bogie systems and components"
13878,Automated equipment performance measurement tools
13879,Market knowledge of future growth areas
13880,"Components and objectives of change management strategies, programmes and processes"
13881,"Principles, types and functions of tropical envelopes"
13882,Security investigation techniques
13883,"Types, properties and applications of superalloys"
13884,Organisational procedures relating to cleaning of washroom facilities
13885,Technical Writing Techniques
13886,Scopes of carbon footprints
13887,Resources required to implement service innovation ideas
13888,Develop programme evaluation tools to gather data and feedback on talent management
13889,Multi-pass rendering
13890,Types of solid and recyclable waste
13891,Safety regulations and standards
13892,Instructions for work procedures
13893,Types of group work
13894,Standard rigging procedures
13895,Corrective and preventive actions (CAPA)
13896,Success factors for implementation of learning innovation
13897,Framework for designing integrated digital marketing strategies
13898,Techniques for researching information in different types of media
13899,Business Statistics
13900,"Basic maintenance procedures for tools, equipment and machinery"
13901,"Anatomy and physiology of the respiratory and nervous systems, circulatory, skeletal and skin"
13902,"Procurement, contract management and contract law"
13903,Absorption methods of pesticides
13904,Shopping and payment technology trends
13905,Methods of building WSH culture
13906,"In-depth knowledge of a specific industry domain, and related industries"
13907,Organisational objectives and scope of factory audits
13908,"SSoW policies, procedures and practices"
13909,Market trends and developments in relation to labour relations practices
13910,"Different types of rail tracks, equipment and components"
13911,Absolute and relative returns
13912,Elements of project modules
13913,Sources of information and data required for reporting
13914,Talent analytics
13915,Financial and resource considerations
13916,Risk Management process
13917,Types and methods of functional tests on track tamping vehicles and on-board equipment
13918,"Optimal aircraft performance such as speed, drag, fuel status and cruise flight level"
13919,Techniques in managing vendors and contractors
13920,Market trends and developments in relation to influencing individuals
13921,Processes and tools to identify risks
13922,New technologies requirements for system integration
13923,New and emerging techniques for security programme development
13924,Behaviour and properties of raw materials
13925,Computerised dispensing systems
13926,Emerging trends in speech therapy assessment technology
13927,Manpower requirements for horticultural maintenance tasks
13928,Common fault symptoms in rolling stock brake systems and components
13929,"Duties and responsibilities of personnel in confined space work, supervisors, confined space safety assessors, rescue personnel and authorised managers"
13930,Key metrics to measure performance
13931,Container dimensions and types
13932,Techniques to review EMS legal compliance
13933,Environment impact of different packaging types and materials
13934,Methods to retain level of cleanliness and sterility post-cleaning and post-sterilisation
13935,Concept of network virtualisation
13936,Enterprise risk management strategy and frameworks
13937,Manufacturers  specifications relating to the operation and maintenance of access control equipment
13938,Other ongoing research initiatives and/or studies in the areas that are relevant to the proposed research
13939,Types and specifications of precision measuring equipment
13940,"Models, methods and systems that may be used in evaluating organisational effectiveness"
13941,Route and cost optimisation framework
13942,Methods to record valuations to comply with relevant accounting standards
13943,Reconciliation and post-trade confirmation activities
13944,Local and foreign currencies
13945,Aircraft cabin layouts
13946,Ranges of application for automated technologies and robotic systems
13947,Media Asset Management guidelines
13948,Serviceability and repairable limits
13949,Specialised clinical methods and techniques
13950,Planning and scheduling concepts
13951,"Plans, processes and information systems used within the Centre"
13952,Customer expectations
13953,Audit process and procedure development methods
13954,"Best practices in nursery processes, quality monitoring systems and standards"
